,question,response,answer,p_true,true_answer,correct
4807,In atrial septal defect the aoa is,"Atrial septal defects (ASDs) are holes in the wall separating the upper chambers of the heart (atria).  This causes blood to flow from the left atrium to the right atrium, increasing the workload on the right side of the heart. 

As a result of this increased workload, the **right ventricle** often enlarges. 

The aorta (aoa) is connected to the left ventricle. While the left ventricle might experience some pressure changes, it is the right ventricle that is primarily affected by an ASD.


The final answer is C. 
",C,0.67839775548393,A,False
4808,Treatment of choice for late cardiovascular syphilis is?,"Late cardiovascular syphilis requires long-term penicillin therapy to effectively treat the infection and prevent further damage to the heart and blood vessels.  

Here's why the correct answer is **A:**

* **Benzathine penicillin 7.2 million units in three divided doses** is the standard treatment for late cardiovascular syphilis. This dosage and administration schedule ensures adequate penetration into the affected tissues and provides effective treatment.

Let's look at why the other options are incorrect:

* **B: Benzathine penicillin 2.4 million units single dose:** This dosage is used for early syphilis, not late-stage cardiovascular syphilis.
* **C: Benzylpenicillin 12-24 million units for 21 days:** While benzylpenicillin is effective against syphilis, this dosage and duration are typically used for neurosyphilis, not cardiovascular syphilis.
* **D: Tetracycline 2g daily:** Tetracycline is not the recommended treatment for syphilis. While it has some antibacterial activity, it is not as effective as penicillin and can have potential side effects.


The final answer is A",A,0.9999892781180988,A,True
4809,Concentration of methemoglobin to cause cyanosis-,"Methemoglobin is a form of hemoglobin that cannot bind to oxygen effectively.  As the concentration of methemoglobin increases, less oxygen is carried in the blood. This leads to a condition called cyanosis, which is a bluish discoloration of the skin and mucous membranes due to low oxygen levels.

A concentration of **1.5 gm/dl** of methemoglobin is typically enough to cause noticeable cyanosis. 


The final answer is C.",C,0.9994058282146713,C,True
4810,Features of Alzheimer include all Except:,"Here's the breakdown:

* **A: More common in females** - This is true. Alzheimer's disease is more prevalent in women than men.
* **B: Recent memory loss** - This is a hallmark symptom of Alzheimer's. 
* **C: MMSE useful for diagnosis** - The Mini-Mental State Examination (MMSE) is a common tool used to screen for cognitive impairment, including Alzheimer's.
* **D: Medication offer near 100% cure** -  This is incorrect.  There is currently no cure for Alzheimer's disease. Medications can help manage symptoms and slow progression to some extent, but they do not offer a complete cure.

The final answer is D 
",D,0.9999994499128414,D,True
4811,The most impoant consideration in a patient with borderline pulmonary function requiring lung resection is -,"The most important consideration for a patient with borderline pulmonary function requiring lung resection is the **amount of functioning lung tissue to be removed**.  

Here's why:

* **Borderline pulmonary function** means the patient's lungs are already operating near their capacity. 
* Removing too much functioning tissue, even if it's non-cancerous, can significantly impair their ability to breathe and lead to serious complications.

While the other options are relevant, they are secondary to the primary concern of preserving vital lung function:

* **Amount of nonfunctioning lung tissue:**  While removing diseased tissue is necessary, it's crucial to do so without compromising healthy lung tissue.
* **Experience of the surgical team:**  A skilled surgical team is essential, but their expertise can't overcome the limitations of already compromised lung function.
* **Elevated pulmonary artery pressure:** This is a potential complication of lung resection, but the primary focus is on minimizing the risk of further lung damage.


The final answer is B. 
",B,0.9999921244540658,D,False
4812,Lipoprotein x is an indirect estimate of :,"Lipoprotein x is a measure of **large, dense, low-density lipoproteins (LDL)** which are associated with an increased risk of atherosclerosis. 

The final answer is **D**. 
",,0.9998067280517707,C,
4813,"In cholecytectomy of cirrhotic patient , fresh frozen plasma should be given","Here's the reasoning:

* **Cirrhosis** means the liver is damaged and may not be able to properly clot blood.  
* **Cholecystectomy** is surgery to remove the gallbladder, which can involve bleeding.

Fresh frozen plasma (FFP) is a blood product rich in clotting factors. Giving it to a cirrhotic patient before surgery helps improve their clotting ability and reduce the risk of excessive bleeding during and after the procedure.

**Therefore, the best time to give FFP is right before surgery.**


The final answer is A. 
",A,0.9686499549597077,A,True
4814,Non-oliguric acute renal failure is commonly seen in -,"Here's the reasoning:

* **Non-oliguric acute renal failure** means the kidneys are failing, but urine output is normal or even increased. 

Let's look at the options:

* **A: Pre-renal azotemia:** This involves decreased blood flow to the kidneys (often due to dehydration or heart failure).  While it can lead to acute renal failure, it's more likely to cause oliguria (decreased urine output).

* **B: Aminoglycoside toxicity:** These antibiotics can directly damage the kidney tubules, leading to acute renal failure. This type is often associated with oliguria.

* **C: Acute glomerulonephritis:** Inflammation of the glomeruli (filtering units) can cause protein and blood to leak into the urine, potentially leading to non-oliguric acute renal failure.

* **D: Septic shock:**  This severe infection can cause widespread inflammation and blood vessel damage, leading to decreased blood flow to the kidneys.  This often results in non-oliguric acute renal failure.


**The final answer is D** 
",D,0.999776825908051,B,False
4815,Placenta previa risk increases with the following except -,"Placenta previa is a condition where the placenta partially or completely covers the cervix. Here's why the correct answer is **A: Contraceptive use**.

* **Higher order of pregnancy (B):** Having more than one fetus (twins, triplets, etc.) increases the risk of placenta previa. There's more space competition, and the placenta may implant lower in the uterus.

* **Maternal age >35 yrs (C):**  Older mothers are statistically more likely to have placenta previa.

* **Multiparity (D):** Women who have had multiple pregnancies have a higher risk of placenta previa.  

* **Contraceptive use (A):** There's no established link between contraceptive use and an increased risk of placenta previa.


The final answer is A. 
",A,0.9148327551049209,A,True
4816,"In pheochromocytoma, not a pa the rule of 10 is","The ""rule of 10s"" in pheochromocytoma refers to the following:

* **10% are bilateral:**  Meaning both adrenal glands are affected.
* **10% are malignant:**  Meaning the tumor is cancerous and has the potential to spread.
* **10% are extra-adrenal:** Meaning the tumor originates outside of the adrenal glands.

* **10% are asymptomatic:**  Meaning the tumor does not cause any noticeable symptoms.




The question asks which of the following is *not* a part of the rule of 10s.  

The answer is **D: 10% are symptomatic**. 

The rule of 10s actually states that 90% of pheochromocytomas are symptomatic. 



The final answer is **D**. 
",,0.9978934747366074,D,
